season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_type,win_margin,id
2023,2023-05-04,KKR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,KKR,bat,KKR,runs,5,978
2023,2023-05-05,RR,GT,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,bat,GT,wickets,9,979
2023,2023-05-06,MI,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,field,CSK,wickets,6,980
2023,2023-05-06,RCB,DC,"Arun Jaitley Stadium, Delhi",Delhi,RCB,bat,DC,wickets,7,981
2023,2023-05-07,GT,LSG,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,LSG,field,GT,runs,56,982
2023,2023-05-07,RR,SRH,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,bat,SRH,wickets,4,983
2023,2023-05-08,PBKS,KKR,"Eden Gardens, Kolkata",Kolkata,PBKS,bat,KKR,wickets,5,984
2023,2023-05-09,RCB,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,6,985
2023,2023-05-10,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,bat,CSK,runs,27,986
2023,2023-05-11,KKR,RR,"Eden Gardens, Kolkata",Kolkata,RR,field,RR,wickets,9,987
2023,2023-05-12,MI,GT,"Wankhede Stadium, Mumbai",Mumbai,GT,field,MI,runs,27,988
2023,2023-05-13,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,SRH,bat,LSG,wickets,7,989
2023,2023-05-13,PBKS,DC,"Arun Jaitley Stadium, Delhi",Delhi,DC,field,PBKS,runs,31,990
2023,2023-05-14,RCB,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,RCB,bat,RCB,runs,112,991
2023,2023-05-14,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,bat,KKR,wickets,6,992
2023,2023-05-15,GT,SRH,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,SRH,field,GT,runs,34,993
2023,2023-05-16,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,MI,field,LSG,runs,5,994
2023,2023-05-17,DC,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,PBKS,field,DC,runs,15,995
2023,2023-05-18,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,RCB,field,RCB,wickets,8,996
2023,2023-05-19,PBKS,RR,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,RR,field,RR,wickets,4,997
2023,2023-05-20,CSK,DC,"Arun Jaitley Stadium, Delhi",Delhi,CSK,bat,CSK,runs,77,998
2023,2023-05-20,LSG,KKR,"Eden Gardens, Kolkata",Kolkata,KKR,field,LSG,runs,1,999
2023,2023-05-21,SRH,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,8,1000
2023,2023-05-21,RCB,GT,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,GT,field,GT,wickets,6,1001
